Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
133,Michael Finley\finlemi01,SF,35,SAS,81,77,28.8,3.7,8.5,0.437,1.6,3.9,0.411,2.1,4.6,0.459,0.532,0.6,0.8,0.823,0.3,3,3.3,1.4,0.5,0.2,0.8,1,9.7
152,Manu Ginobili\ginobma01,SG,31,SAS,44,7,26.8,5.1,11.2,0.454,1.6,4.8,0.33,3.5,6.4,0.546,0.524,3.8,4.3,0.884,0.5,4,4.5,3.6,1.5,0.4,2,2,15.5
154,Drew Gooden\goodedr01,PF,27,SAS,19,1,16.8,3.7,7.6,0.49,0,0.1,0,3.7,7.6,0.493,0.49,2.4,3,0.789,1.5,2.9,4.4,0.2,0.2,0.2,0.8,2.1,9.8
167,Malik Hairston\hairsma01,SG,21,SAS,15,0,10.3,1.6,3.3,0.49,0,0.1,0,1.6,3.2,0.5,0.49,0.1,0.5,0.286,0.7,1.1,1.9,0.9,0.4,0.5,0.8,1.3,3.3
184,George Hill\hillge01,PG,22,SAS,77,7,16.5,1.9,4.8,0.403,0.3,0.9,0.329,1.6,3.9,0.421,0.435,1.5,1.9,0.781,0.4,1.7,2.1,1.8,0.6,0.3,1,1.9,5.7
263,Roger Mason\masonro01,SG,28,SAS,82,71,30.4,4.3,10,0.425,2,4.8,0.421,2.2,5.2,0.428,0.526,1.3,1.4,0.89,0.2,2.9,3.1,2.1,0.5,0.1,1.2,2,11.8
274,Pops Mensah-Bonsu\mensapo01,PF,25,SAS,3,0,6.7,1.7,2.3,0.714,0,0,,1.7,2.3,0.714,0.714,1.7,2.3,0.714,1.7,1.7,3.3,0,0.3,0.3,0.7,2,5
307,Fabricio Oberto\obertfa01,C,33,SAS,54,11,12.5,1.1,1.9,0.587,0,0,0,1.1,1.9,0.592,0.587,0.4,0.6,0.571,1.2,1.4,2.6,1.1,0.1,0.2,0.7,1.8,2.6
316,Tony Parker\parketo01,PG,26,SAS,72,71,34.1,8.9,17.5,0.506,0.3,0.9,0.292,8.6,16.6,0.518,0.513,3.9,5,0.782,0.4,2.7,3.1,6.9,0.9,0.1,2.6,1.5,22
389,Kurt Thomas\thomaku01,PF,36,SAS,79,10,17.8,1.9,3.8,0.503,0,0,0,1.9,3.8,0.507,0.503,0.5,0.6,0.822,1.7,3.4,5.1,0.8,0.4,0.7,0.5,2.2,4.3
394,Anthony Tolliver\tollian01,PF,23,SAS,19,0,10.9,1,3.4,0.292,0.5,2.2,0.22,0.5,1.3,0.417,0.362,0.3,0.5,0.5,0.6,1.5,2.2,0.9,0.3,0.1,0.4,0.8,2.7
398,Ime Udoka\udokaim01,SF,31,SAS,67,3,15.4,1.6,4.3,0.383,0.6,1.9,0.328,1,2.4,0.426,0.455,0.4,0.7,0.609,0.4,2.4,2.8,0.8,0.5,0.2,0.6,1.3,4.3
402,Jacque Vaughn\vaughja01,PG,33,SAS,30,0,9.7,0.8,2.5,0.32,0,0,1,0.8,2.5,0.311,0.327,0.5,0.6,0.889,0.1,0.6,0.7,1.8,0.2,0,0.5,0.9,2.2
431,Marcus Williams\willima04,PF,22,SAS,2,0,1.5,1,1,1,0,0,,1,1,1,1,0,0,,0,0,0,0,0,0,0,0.5,2
