,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
146,389,Nate Robinson\robinna01,PG,30,DEN,33,1,14.1,2.2,6.2,0.348,0.7,2.8,0.261,1.4,3.4,0.42,0.40700000000000003,0.8,1.2,0.65,0.4,0.8,1.2,2.3,0.4,0.1,0.7,2.1,5.8
147,20,Joel Anthony\anthojo01,C,32,DET,49,0,8.3,0.7,1.3,0.581,0.0,0.0,,0.7,1.3,0.581,0.581,0.3,0.4,0.682,0.7,1.2,1.9,0.1,0.2,1.0,0.2,1.1,1.8
148,25,D.J. Augustin\augusdj01,PG,27,DET,54,13,23.8,3.5,8.5,0.41,0.9,2.8,0.327,2.6,5.8,0.45,0.46299999999999997,2.7,3.1,0.87,0.2,1.6,1.9,4.9,0.6,0.0,2.0,1.1,10.6
149,73,Caron Butler\butleca01,SF,34,DET,78,21,20.8,2.1,5.1,0.40700000000000003,1.1,2.8,0.379,1.0,2.3,0.441,0.511,0.7,0.8,0.902,0.3,2.2,2.5,1.0,0.6,0.1,0.6,1.5,5.9
150,81,Kentavious Caldwell-Pope\caldwke01,SG,21,DET,82,82,31.5,4.8,11.9,0.401,1.9,5.4,0.345,2.9,6.4,0.449,0.48,1.3,1.9,0.696,0.6,2.5,3.1,1.3,1.1,0.2,1.1,2.0,12.7
151,115,Luigi Datome\datomlu01,SF,27,DET,3,0,5.7,1.7,4.0,0.41700000000000004,0.3,1.3,0.25,1.3,2.7,0.5,0.45799999999999996,0.0,0.0,,0.3,1.0,1.3,0.7,0.3,0.0,0.7,0.3,3.7
152,128,Spencer Dinwiddie\dinwisp01,PG,21,DET,34,1,13.4,1.5,5.0,0.302,0.4,1.9,0.185,1.1,3.1,0.375,0.337,0.9,1.0,0.912,0.1,1.3,1.4,3.1,0.6,0.2,1.0,1.6,4.3
153,135,Andre Drummond\drumman01,C,21,DET,82,82,30.5,6.0,11.7,0.514,0.0,0.0,0.0,6.0,11.7,0.515,0.514,1.7,4.5,0.389,5.3,8.1,13.5,0.7,0.9,1.9,1.5,3.5,13.8
154,233,Reggie Jackson\jacksre01,PG,24,DET,27,27,32.2,6.8,15.6,0.436,1.0,3.1,0.337,5.7,12.5,0.46,0.469,3.0,3.8,0.7959999999999999,1.0,3.6,4.7,9.2,0.7,0.1,3.5,2.7,17.6
155,240,Brandon Jennings\jennibr01,PG,25,DET,41,41,28.6,5.3,13.2,0.401,1.9,5.1,0.36,3.5,8.1,0.428,0.47100000000000003,2.9,3.5,0.8390000000000001,0.5,2.0,2.5,6.6,1.1,0.1,2.2,1.6,15.4
156,241,Jonas Jerebko\jerebjo01,PF,27,DET,46,0,15.3,2.0,4.3,0.46,0.6,1.7,0.368,1.4,2.7,0.516,0.53,0.7,0.8,0.861,1.0,2.1,3.1,0.9,0.6,0.2,0.6,1.7,5.2
